graphname,optimal_expectation,optimal_parameters,optimal_gamma_random,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls_random,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model,n,m,deg_mean,deg_std,clust_mean,assortativity,mis,exact_maxcut,approx_ratio_random,mean_n_obj_calls_conj,approx_ratio_conj,optimal_gamma_conj,init_strategy,call_reduction,call_reduction_pct,quality_delta
barabasi_0,14.308232158334638,"[2.8187109810518325, 1.923273289238735, 1.7962207550662608, 1.8205180199231106, 0.8371274598983325, 0.13574845381895112, 1.477577976586662, 2.8831139842120987, 3.119430306501691, 1.7636837183119356]",2.8187109810518325,0.1357484538189511,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,12,20,5.818973779678345,1,1466.0,0.0,0.0,0,barabasi,12,20,3.3333,1.8856,0.2312,-0.5142,0.5,18,0.7949017865741466,824.0,0.84552684621959,2.969072835632846,static_conjecture,642.0,43.79263301500682,0.05062505964544339
watts_1,27.81041949001023,"[2.9751011490554533, 3.1391957105987167, 2.6731286386179214, 1.6070994639644542, 1.6331528155195278, 0.6841357080111085, 1.391283495800455, 2.795461563586752, 3.137423462777827, 2.1822555122006935]",2.9751011490554533,0.6841357080111085,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,20,40,8.999577045440674,1,826.0,0.0,0.0,1,watts,20,40,4.0,0.9487,0.2867,-0.1185,0.35,31,0.8971103061293623,702.0,0.89962085697193,2.9779300484243176,static_conjecture,124.0,15.012106537530268,0.0025105508425676826
barabasi_2,10.467927525973566,"[2.3947170513332905, 2.2669899579134127, 1.4137613171429144, 0.6860594709049351, 1.94306316083884, 1.4601453802059257, 1.3109149111033398, 1.9594263898202826, 1.2747671450387639, 0.17306328863087136]",2.3947170513332905,1.4601453802059257,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,13,12,2.631865262985229,1,1054.0,0.0,0.0,2,barabasi,13,12,1.8462,1.4058,0.0,-0.7216,0.6923,12,0.8723272938311305,1005.0,0.8662397221128301,2.795991279655889,static_conjecture,49.0,4.648956356736242,-0.006087571718300433
watts_3,14.584437256059852,"[2.880984493677421, 2.6792209194625247, 2.52275063648239, 1.2999676911118967, 1.9091163791735533, 2.1477279494023165, 0.3715472398964069, 2.9417727436913435, 3.086167855255223, 1.9725088856478128]",2.880984493677421,2.1477279494023165,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,17,17,7.598620891571045,1,1625.0,0.0,0.0,3,watts,17,17,2.0,0.9075,0.0,-0.2042,0.4706,17,0.8579080738858736,1806.0,0.8365361868364637,2.740444687923837,static_conjecture,-181.0,-11.138461538461538,-0.021371887049409954
gnm_4,74.99266518034155,"[2.7206721345798126, 2.115293941379858, 2.2364553647871723, 1.8967982797773129, 0.7857116375412623, 0.6969027906986783, 0.794922111253471, 2.7914796728233857, 3.140960116235446, 1.5362762311583111]",2.7206721345798126,0.6969027906986783,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,19,149,19.01781630516052,1,637.0,0.0,0.0,4,gnm,19,149,15.6842,1.1722,0.8678,-0.0967,0.1579,86,0.8720077346551343,623.0,0.8915534987247649,2.1672930554347074,static_conjecture,14.0,2.197802197802198,0.0195457640696306
watts_5,8.567371733190463,"[2.7866196530427585, 1.3423290187737182, 2.933116952000365, 2.150888480909785, 0.6977352129123752, 0.3198267824245836, 1.4613906659734561, 1.8785260284574896, 2.9197488349215024, 1.119370465495306]",2.7866196530427585,0.3198267824245836,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,10,10,2.912886619567871,1,1585.0,0.0,0.0,5,watts,10,10,2.0,0.4472,0.0,-0.0526,0.5,10,0.8567371733190463,1422.0,0.8256534948921935,1.465959672151779,static_conjecture,163.0,10.28391167192429,-0.03108367842685278
watts_6,25.03648963909618,"[1.1756154110988304, 2.1935571803799627, 2.617431239297617, 1.9838872706995367, 2.5740290978690457, 1.6162188269935935, 1.3522631421566558, 1.7696099170013566, 1.5487003820892573, -0.00585154397404369]",1.1756154110988304,1.6162188269935935,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,19,38,6.453138113021851,1,831.0,0.0,0.0,6,watts,19,38,4.0,0.4588,0.3772,-0.0133,0.3684,29,0.8633272289343511,963.0,0.8702200452755939,1.597385035103306,static_conjecture,-132.0,-15.884476534296029,0.006892816341242836
barabasi_7,10.068711909748664,"[-0.2646301011314006, 2.0307964351903607, 3.089729447251729, 2.156299677774525, 2.9740286719880653, 1.9260058776058788, 1.755978393435993, 3.13320978710792, 2.98745658825059, 1.4765095534491635]",-0.2646301011314006,1.9260058776058788,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,13,12,0.4994406700134277,1,1279.0,0.0,0.0,7,barabasi,13,12,1.8462,1.2308,0.0,-0.5195,0.6154,12,0.8390593258123887,975.0,0.8408689174216555,1.817750839047033,static_conjecture,304.0,23.768569194683348,0.0018095916092667474
watts_8,10.020232605785168,"[2.431548412470949, 2.3813423573632555, -0.19675241274057897, 1.9704521741735281, 1.5150070181731934, 1.5987373857511775, 0.5869568404547794, 2.9607643744576393, 2.8183703367496475, 1.2953250792184368]",2.431548412470949,1.5987373857511775,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,8,16,3.2906854152679443,1,1249.0,0.0,0.0,8,watts,8,16,4.0,1.0,0.6375,-0.0833,0.25,12,0.8350193838154306,1568.0,0.866717646126896,1.5135342449826463,static_conjecture,-319.0,-25.540432345876702,0.03169826231146533
barabasi_9,26.50510833534349,"[1.4177446391600483, 2.0075858197304197, 3.0379648607173193, 3.1001589477219156, 0.375069953040909, 1.7208969462381005, 1.7794136411959354, 2.168432598391523, 1.8984701074653216, 1.3636127922998216]",1.4177446391600483,1.7208969462381003,"[1.72414847 2.24683366 1.89363699 1.711801   1.33095081 1.0145681
 0.68736038 1.40079375 1.51371792 0.60230853]",1.7241484721289566,1.014568100303551,5,20,36,10.98490285873413,1,1078.0,0.0,0.0,9,barabasi,20,36,3.6,2.1541,0.0651,-0.4045,0.4,30,0.8835036111781164,882.0,0.8633628268773739,2.941137731977517,static_conjecture,196.0,18.181818181818183,-0.02014078430074251
