graph_source,init_strategy,graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model
known,static_conjecture,watts_56,9.864236216427798,"[2.9631821395423206, 2.802161502040259, 1.6719473987375553, 2.0095133464165023, 1.6793015356698748, 0.9366533715065877, 1.879921001891852, 0.8208400219580982, 1.3887526325923052, 1.632315186379555]",2.9631821395423206,0.9366533715065877,"[1.8668712  1.8668712  1.8668712  1.8668712  1.8668712  0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.8668712044534415,0.8620742360644783,5,8,16,3.4667036533355713,1,957.0,0.0,0.0,56,watts
known,static_conjecture,barabasi_57,33.400223288537276,"[2.9870762609513424, 1.9631254857343263, 2.6474861145574815, 2.284232713259617, 2.2265817504970458, 0.4300661694714199, 1.6120197939961156, 1.5937679847809545, 1.5499881226677896, 0.2615961004699404]",2.9870762609513424,0.4300661694714199,"[1.85904672 1.85904672 1.85904672 1.85904672 1.85904672 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.8590467171717162,0.8620742360644783,5,20,51,13.792572498321533,1,1018.0,0.0,0.0,57,barabasi
known,static_conjecture,barabasi_58,14.954704884610946,"[2.887139070026591, 2.673847856700856, 2.662146064348497, 1.1888496473304049, 2.0717509977685875, 2.1274074842226645, 1.8861367529612623, 0.17381022724204, 1.4633303628808871, 1.5780913708793478]",2.887139070026591,2.1274074842226645,"[1.92991957 1.92991957 1.92991957 1.92991957 1.92991957 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.9299195660306772,0.8620742360644783,5,18,17,6.33838963508606,1,1268.0,0.0,0.0,58,barabasi
known,static_conjecture,gnm_59,22.9781966283887,"[2.9439984018260628, 2.8712315475857397, 2.865815447919565, 2.0741463252841594, 2.0918189552253876, 0.1889803037261753, 3.1415148158572244, 3.141244569714514, 3.111331575842687, 1.3163288858178817]",2.9439984018260628,0.1889803037261753,"[1.86761053 1.86761053 1.86761053 1.86761053 1.86761053 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.8676105274727148,0.8620742360644783,5,14,36,4.896654367446899,1,587.0,0.0,0.0,59,gnm
known,static_conjecture,gnm_60,19.949666087647635,"[1.6027330687299393, 1.7199340708334452, 2.7949946169942876, 3.0542176626548123, 2.87780041619943, -0.22104103675923464, 3.0309196660451487, 1.7430531137686383, 1.766183827824108, 1.7851477835266014]",1.6027330687299393,-0.22104103675923464,"[2.1422249  2.1422249  2.1422249  2.1422249  2.1422249  0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.1422248982234677,0.8620742360644783,5,10,32,12.882908344268799,1,1541.0,0.0,0.0,60,gnm
known,static_conjecture,barabasi_61,5.462583244053349,"[2.2609732825460873, 2.4025218579551195, 2.281041329465111, 2.702828745154475, 2.320505685180453, -0.1216188784125261, 2.368361851266062, 1.1973259572374042, 1.446484921725919, 0.22194754219427856]",2.2609732825460873,-0.1216188784125261,"[2.17599942 2.17599942 2.17599942 2.17599942 2.17599942 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",2.1759994235088223,0.8620742360644783,5,7,6,6.702306747436523,1,1525.0,0.0,0.0,61,barabasi
known,static_conjecture,watts_62,18.16597067216491,"[1.6725670120530323, 2.8518067241145384, 0.10800762241712569, 2.4972241875436083, 1.5385693270656806, 0.9318696258412431, 2.7164144545974622, 2.3135583713326935, 1.952720307117521, 1.2093758132370835]",1.6725670120530323,0.9318696258412431,"[1.54166667 1.54166667 1.54166667 1.54166667 1.54166667 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.541666666666667,0.8620742360644783,5,15,30,11.335992574691772,1,1631.0,0.0,0.0,62,watts
known,static_conjecture,watts_63,9.13176115101487,"[2.944417445985893, 3.049641105059939, 3.1280565704129852, 1.2951981469540574, 2.527717302759142, 1.710095230235512, 3.1311117258287458, 1.6617262438051004, 1.5257539143196501, 1.3413496883269649]",2.944417445985893,1.710095230235512,"[1.48238815 1.48238815 1.48238815 1.48238815 1.48238815 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.482388147566719,0.8620742360644783,5,7,14,3.506582260131836,1,1021.0,0.0,0.0,63,watts
known,static_conjecture,gnm_64,6.525487609193078,"[2.8518199683338255, 1.9182692059931854, 1.8385293006175238, 1.7574931973462575, 1.9418725545857296, 1.0398230187356317, 2.8579026360778035, 2.6501017424552344, 2.432008979877831, 0.5578665660542153]",2.8518199683338255,1.0398230187356317,"[1.85651061 1.85651061 1.85651061 1.85651061 1.85651061 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.8565106125091821,0.8620742360644783,5,6,10,3.396716594696045,1,877.0,0.0,0.0,64,gnm
known,static_conjecture,barabasi_65,8.70823974692565,"[2.0021166197787332, 1.469820743148475, 1.2814693555648953, 2.5075385902842835, 1.5803917328683346, 1.6965798062479416, 1.1711220329378673, 1.4467497201576562, 1.3680214304755733, 0.1650922529629273]",2.0021166197787332,1.6965798062479416,"[1.55371901 1.55371901 1.55371901 1.55371901 1.55371901 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.5537190082644627,0.8620742360644783,5,11,10,3.546257734298706,1,1030.0,0.0,0.0,65,barabasi
known,static_conjecture,regular_66,16.865387848848492,"[2.8949390483133683, 2.1772852035204524, 1.7172875395304814, 2.541010494143936, 1.9116951296176414, 0.13566360439325903, 2.2941473830551034, 1.380985987409226, 1.5107405980172737, 0.6638045245411501]",2.8949390483133683,0.13566360439325903,"[1.97142857 1.97142857 1.97142857 1.97142857 1.97142857 0.86207424
 1.12341683 0.9468185  0.8559005  0.6654754 ]",1.971428571428571,0.8620742360644783,5,12,24,3.907053232192993,1,703.0,0.0,0.0,66,regular
