stratum,target,rank,formula,touches,support
size=small(n≤10),optimal_gamma,2,optimal_gamma ≤ ((((-4/9) · (clust_mean)²) + ((3/8) · clust_mean)) + (49/16)),0,349
size=small(n≤10),optimal_gamma,3,(((-1/8) · deg_mean) + ((-3/17) · √(deg_mean))) ≤ optimal_gamma,0,349
size=small(n≤10),optimal_gamma,4,(((-1/8) · deg_mean) + ((-1/16) · (deg_mean)²)) ≤ optimal_gamma,0,349
size=small(n≤10),optimal_gamma,5,(((-1/8) · deg_mean) + ((-1/13) · √(n))) ≤ optimal_gamma,0,349
size=small(n≤10),approx_ratio,1,approx_ratio ≤ 1,12,349
size=small(n≤10),approx_ratio,2,approx_ratio ≤ ((((1/20) · clust_mean) + ((-1/24) · √(clust_mean))) + 1),12,349
size=small(n≤10),approx_ratio,3,approx_ratio ≤ ⌊(((3/10) · deg_mean) + √(mis))⌋,12,349
size=small(n≤10),approx_ratio,4,approx_ratio ≤ ⌊(((1/12) · n) + √(mis))⌋,12,349
size=small(n≤10),approx_ratio,5,approx_ratio ≤ ⌊(((1/12) · n) + ((1/5) · √(n)))⌋,8,349
size=medium(n≤15),optimal_gamma,1,((((15/17) · (clust_mean)²) + ((-3/14) · clust_mean)) + (-1/2)) ≤ optimal_gamma,0,328
size=medium(n≤15),optimal_gamma,2,(((3/17) · deg_mean) + (-17/19)) ≤ optimal_gamma,0,328
size=medium(n≤15),optimal_gamma,3,(((-4 · (mis)²) + (-4 · mis)) + (29/15)) ≤ optimal_gamma,0,328
size=medium(n≤15),optimal_gamma,4,optimal_gamma ≤ ((((5/7) · (clust_mean)²) + ((-13/17) · clust_mean)) + (13/4)),0,328
size=medium(n≤15),optimal_gamma,5,optimal_gamma ≤ (22/7),0,328
size=medium(n≤15),approx_ratio,1,((((4/15) · (assortativity)²) + ((8/19) · assortativity)) + (3/4)) ≤ approx_ratio,0,328
size=medium(n≤15),approx_ratio,2,((((25/11) · (mis)²) + ((-13/7) · mis)) + 1) ≤ approx_ratio,0,328
size=medium(n≤15),approx_ratio,3,approx_ratio ≤ ((((-1/2) · (mis)²) + ((6/17) · mis)) + (12/13)),0,328
size=medium(n≤15),approx_ratio,4,(((1/20) · deg_mean) + ((2/17) · √(deg_mean))) ≤ approx_ratio,0,328
size=medium(n≤15),approx_ratio,5,(((1/20) · deg_mean) + ((8/17) · √(mis))) ≤ approx_ratio,0,328
size=medium(n≤15),mean_n_obj_calls,1,((((55/14) · (deg_mean)²) + (4 · deg_mean)) + 4) ≤ mean_n_obj_calls,0,328
size=large(n≤20),optimal_gamma,1,((((17/7) · (clust_mean)²) + ((7/10) · clust_mean)) + (-10/19)) ≤ optimal_gamma,0,323
size=large(n≤20),optimal_gamma,2,(((5/11) · deg_mean) + (-21/13)) ≤ optimal_gamma,0,323
size=large(n≤20),optimal_gamma,3,(((-4 · (mis)²) + (-4 · mis)) + (23/11)) ≤ optimal_gamma,0,323
size=large(n≤20),optimal_gamma,4,optimal_gamma ≤ (63/20),0,323
size=large(n≤20),optimal_gamma,5,optimal_gamma ≤ ((((-2/5) · (mis)²) + ((4/9) · mis)) + (61/20)),0,323
size=large(n≤20),approx_ratio,1,((((23/14) · (mis)²) + ((-24/17) · mis)) + 1) ≤ approx_ratio,0,323
size=large(n≤20),approx_ratio,2,((((1/3) · (assortativity)²) + ((3/17) · assortativity)) + (13/18)) ≤ approx_ratio,0,323
size=large(n≤20),approx_ratio,3,((((2/5) · (clust_mean)²) + ((-5/19) · clust_mean)) + (14/19)) ≤ approx_ratio,0,323
size=large(n≤20),approx_ratio,4,approx_ratio ≤ ((((-7/17) · (mis)²) + ((1/5) · mis)) + (19/20)),0,323
size=large(n≤20),approx_ratio,5,approx_ratio ≤ (((-1/8) · (assortativity)²) + 1),0,323
size=large(n≤20),mean_n_obj_calls,1,(((4 · (clust_mean)²) + (4 · clust_mean)) + 4) ≤ mean_n_obj_calls,0,323
size=large(n≤20),mean_n_obj_calls,2,((((30/17) · (deg_mean)²) + (4 · deg_mean)) + 4) ≤ mean_n_obj_calls,0,323
size=large(n≤20),mean_n_obj_calls,3,((4 · m) + 4) ≤ mean_n_obj_calls,0,323
model=barabasi_size=small(n≤10),optimal_gamma,1,((((34/19) · (mis)²) + ((-57/16) · mis)) + (59/20)) ≤ optimal_gamma,0,100
model=barabasi_size=small(n≤10),optimal_gamma,2,optimal_gamma ≤ ((((15/11) · (mis)²) + ((-5/4) · mis)) + (42/13)),0,100
model=barabasi_size=small(n≤10),optimal_gamma,3,(((7/19) · deg_mean) + ((1/2) · √(deg_mean))) ≤ optimal_gamma,0,100
model=barabasi_size=small(n≤10),optimal_gamma,4,(((7/19) · deg_mean) + ((4/19) · (deg_mean)²)) ≤ optimal_gamma,0,100
model=barabasi_size=small(n≤10),optimal_gamma,5,(((7/19) · deg_mean) + ((3/13) · √(n))) ≤ optimal_gamma,0,100
model=barabasi_size=small(n≤10),approx_ratio,1,((((4/7) · (deg_mean)²) + ((-17/6) · deg_mean)) + 4) ≤ approx_ratio,0,100
model=barabasi_size=small(n≤10),approx_ratio,2,((((29/13) · (mis)²) + ((-23/9) · mis)) + (29/19)) ≤ approx_ratio,0,100
model=barabasi_size=small(n≤10),approx_ratio,3,approx_ratio ≤ ((((-20/17) · (deg_mean)²) + (4 · deg_mean)) + (-12/5)),0,100
model=barabasi_size=small(n≤10),approx_ratio,4,approx_ratio ≤ ((((2/5) · (mis)²) + ((-8/17) · mis)) + (21/19)),0,100
model=barabasi_size=small(n≤10),approx_ratio,5,(((3/13) · deg_mean) + ((3/10) · √(deg_mean))) ≤ approx_ratio,0,100
model=barabasi_size=medium(n≤15),optimal_gamma,1,((((7/10) · (deg_mean)²) + ((-18/5) · deg_mean)) + 4) ≤ optimal_gamma,0,96
model=barabasi_size=medium(n≤15),optimal_gamma,2,((((56/15) · (mis)²) + (-4 · mis)) + (11/14)) ≤ optimal_gamma,0,96
model=barabasi_size=medium(n≤15),optimal_gamma,3,(((-4 · (clust_mean)²) + ((25/9) · clust_mean)) + (-5/19)) ≤ optimal_gamma,0,96
model=barabasi_size=medium(n≤15),optimal_gamma,4,optimal_gamma ≤ ((((2/15) · (deg_mean)²) + ((-13/18) · deg_mean)) + 4),0,96
model=barabasi_size=medium(n≤15),optimal_gamma,5,optimal_gamma ≤ ((((5/2) · (mis)²) + (-3 · mis)) + 4),0,96
model=barabasi_size=medium(n≤15),approx_ratio,1,(((4/13) · n) + (-24/19)) ≤ approx_ratio,0,96
model=barabasi_size=medium(n≤15),approx_ratio,2,approx_ratio ≤ (((-1/8) · n) + (29/17)),0,96
model=barabasi_size=medium(n≤15),approx_ratio,3,(((1/9) · deg_mean) + ((3/14) · √(deg_mean))) ≤ approx_ratio,0,96
model=barabasi_size=medium(n≤15),approx_ratio,4,(((1/9) · deg_mean) + ((1/20) · (deg_mean)²)) ≤ approx_ratio,0,96
model=barabasi_size=medium(n≤15),approx_ratio,5,(((1/9) · deg_mean) + ((1/2) · √(mis))) ≤ approx_ratio,0,96
model=barabasi_size=medium(n≤15),mean_n_obj_calls,1,((((11/4) · (n)²) + (4 · n)) + 4) ≤ mean_n_obj_calls,0,96
model=barabasi_size=large(n≤20),optimal_gamma,1,(((4 · (clust_mean)²) + (-4 · clust_mean)) + (4/7)) ≤ optimal_gamma,0,83
