graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model,n,m,deg_mean,deg_std,clust_mean,assortativity,mis,exact_maxcut,approx_ratio
barabasi_0,11.054720173813148,"[1.241858749097263, 1.9741574225010485]",1.241858749097263,1.9741574225010483,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,12,20,0.5248370170593262,1,64.0,0.0,0.0,0,barabasi,12,20,3.3333,1.8856,0.2312,-0.5142,0.5,18,0.6141511207673971
watts_1,25.44843897597288,"[0.2469289342123765, 2.7866785091799793]",0.2469289342123765,2.7866785091799797,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,20,40,0.6994130611419678,1,123.0,0.0,0.0,1,watts,20,40,4.0,0.9487,0.2867,-0.1185,0.35,31,0.8209173863217059
barabasi_2,8.606983254038083,"[0.40215507454145694, 2.7490893965852456]",0.4021550745414569,2.7490893965852456,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,13,12,0.1416959762573242,1,56.0,0.0,0.0,2,barabasi,13,12,1.8462,1.4058,0.0,-0.7216,0.6923,12,0.7172486045031735
watts_3,12.380499551075133,"[0.3748106033341191, 2.7484595436474177]",0.3748106033341191,2.7484595436474177,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,17,17,0.1508171558380127,1,60.0,0.0,0.0,3,watts,17,17,2.0,0.9075,0.0,-0.2042,0.4706,17,0.7282646794750078
gnm_4,76.6616381002508,"[1.7123802517233662, 2.6899483586505144]",1.7123802517233662,2.6899483586505144,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,19,149,1.395082712173462,1,113.0,0.0,0.0,4,gnm,19,149,15.6842,1.1722,0.8678,-0.0967,0.1579,86,0.8914143965145441
watts_5,6.558655083396872,"[1.170868137380828, 1.9640794211232693]",1.170868137380828,1.9640794211232693,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,10,10,0.0678727626800537,1,54.0,0.0,0.0,5,watts,10,10,2.0,0.4472,0.0,-0.0526,0.5,10,0.6558655083396873
watts_6,22.03365378198218,"[1.8207684419935917, 2.7923293536995697]",1.820768441993592,2.7923293536995697,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,19,38,0.4002885818481445,1,116.0,0.0,0.0,6,watts,19,38,4.0,0.4588,0.3772,-0.0133,0.3684,29,0.7597811648959373
barabasi_7,8.680816387243087,"[0.3885751161906281, 2.748909995163607]",0.3885751161906281,2.748909995163607,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,13,12,0.0785748958587646,1,52.0,0.0,0.0,7,barabasi,13,12,1.8462,1.2308,0.0,-0.5195,0.6154,12,0.7234013656035906
watts_8,9.76554479844708,"[0.23035261153578804, 2.8339717054805353]",0.230352611535788,2.833971705480536,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,8,16,0.079601764678955,1,56.0,0.0,0.0,8,watts,8,16,4.0,1.0,0.6375,-0.0833,0.25,12,0.8137953998705899
barabasi_9,20.99012696320701,"[1.8225099017985658, 2.7606517846108405]",1.8225099017985655,2.7606517846108405,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,20,36,0.4080512523651123,1,88.0,0.0,0.0,9,barabasi,20,36,3.6,2.1541,0.0651,-0.4045,0.4,30,0.699670898773567
gnm_10,15.500020200037396,"[-2.528184072253552, 3.141592653589793]",-2.528184072253552,3.141592653589793,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,11,31,0.0314099788665771,1,8.0,0.0,0.0,10,gnm,11,31,5.6364,1.2264,0.484,-0.0896,0.2727,23,0.6739139217407564
barabasi_11,5.113462689554581,"[0.4336845534936955, 2.7490267364316434]",0.4336845534936955,2.7490267364316434,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,8,7,0.0824029445648193,1,63.0,0.0,0.0,11,barabasi,8,7,1.75,1.299,0.0,-0.5867,0.625,7,0.7304946699363687
barabasi_12,10.853500476263376,"[0.4040308615000777, 2.7489011597903126]",0.4040308615000777,2.748901159790313,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,16,15,0.1296722888946533,1,66.0,0.0,0.0,12,barabasi,16,15,1.875,1.317,0.0,-0.2698,0.625,15,0.7235666984175584
watts_13,17.572645789328703,"[0.24171421816531452, 2.80146326534038]",0.2417142181653145,2.80146326534038,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,14,28,0.1722211837768554,1,63.0,0.0,0.0,13,watts,14,28,4.0,1.0,0.3714,-0.2473,0.3571,21,0.8367926566347001
watts_14,10.766901646256038,"[0.3707199194940277, 2.7656610050283614]",0.3707199194940277,2.765661005028361,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,15,15,0.1164660453796386,1,76.0,0.0,0.0,14,watts,15,15,2.0,0.8165,0.1111,-0.1471,0.4667,14,0.7690644033040027
regular_15,15.154426105894174,"[1.8157253439752274, 2.8004973272930207]",1.8157253439752277,2.8004973272930207,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,12,24,0.0853681564331054,1,52.0,0.0,0.0,15,regular,12,24,4.0,0.0,0.3333,0.0,0.3333,18,0.8419125614385652
barabasi_16,12.800693846011576,"[0.4487406564874089, 2.7497574936912317]",0.4487406564874089,2.749757493691232,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,19,18,0.1296048164367675,1,46.0,0.0,0.0,16,barabasi,19,18,1.8947,1.8323,0.0,-0.4088,0.6316,18,0.7111496581117542
gnm_17,46.25227813564112,"[1.734967371007421, 2.7063740714764752]",1.734967371007421,2.7063740714764752,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,15,89,0.5817437171936035,1,113.0,0.0,0.0,17,gnm,15,89,11.8667,1.2037,0.8384,-0.0595,0.2,54,0.8565236691785393
gnm_18,62.5004114620142,"[-2.528184072253552, 3.141592653589793]",-2.528184072253552,3.141592653589793,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,18,125,0.1527607440948486,1,14.0,0.0,0.0,18,gnm,18,125,13.8889,1.7603,0.8283,-0.1312,0.1667,75,0.8333388194935226
watts_19,12.435405071213191,"[0.378419278875859, 2.749800525947978]",0.378419278875859,2.749800525947978,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,17,17,0.1022143363952636,1,74.0,0.0,0.0,19,watts,17,17,2.0,0.8402,0.0,-0.242,0.5294,16,0.7772128169508244
barabasi_20,13.562579629366626,"[1.8876602119293964, 2.735727291114376]",1.8876602119293964,2.735727291114376,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,14,24,0.1093106269836425,1,48.0,0.0,0.0,20,barabasi,14,24,3.4286,2.0603,0.6996,-0.3958,0.4286,18,0.7534766460759237
gnm_21,4.153870506503154,"[1.2358380534039268, 1.9903296427107193]",1.2358380534039268,1.9903296427107195,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,6,7,0.0520362854003906,1,72.0,0.0,0.0,21,gnm,6,7,2.3333,0.9428,0.25,-0.5556,0.5,6,0.6923117510838589
watts_22,12.657843400661768,"[1.262207562339797, 2.3122103302187123]",1.262207562339797,2.3122103302187123,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,12,24,0.07586669921875,1,47.0,0.0,0.0,22,watts,12,24,4.0,0.7071,0.3889,-0.2043,0.3333,19,0.6662022842453562
watts_23,16.257723407153144,"[1.8443634824819994, 2.693960369183001]",1.8443634824819997,2.693960369183001,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,15,30,0.1299240589141845,1,59.0,0.0,0.0,23,watts,15,30,4.0,1.2111,0.2429,-0.27,0.4,25,0.6503089362861257
watts_24,6.558655295641984,"[1.170868137380828, 1.9640794211232693]",1.170868137380828,1.9640794211232693,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,10,10,0.0545351505279541,1,54.0,0.0,0.0,24,watts,10,10,2.0,0.4472,0.0,-0.0526,0.5,9,0.7287394772935537
barabasi_25,5.811115450934949,"[0.399584469138051, 2.749329811165364]",0.399584469138051,2.749329811165364,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,9,8,0.0533399581909179,1,52.0,0.0,0.0,25,barabasi,9,8,1.7778,1.2273,0.0,-0.5748,0.5556,8,0.7263894313668686
regular_26,14.99997579733364,"[1.9633901687532234, 2.749480627093167]",1.9633901687532236,2.749480627093167,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,20,20,0.2091584205627441,1,52.0,0.0,0.0,26,regular,20,20,2.0,0.0,0.0,0.0,0.45,20,0.749998789866682
gnm_27,66.50048709710154,"[-2.528184072253552, 3.141592653589793]",-2.528184072253552,3.141592653589793,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,18,133,0.153937816619873,1,14.0,0.0,0.0,27,gnm,18,133,14.7778,1.4741,0.8719,-0.1253,0.1667,78,0.8525703473987377
barabasi_28,21.40418358046053,"[0.2634992847241363, 2.783135729043723]",0.2634992847241363,2.783135729043723,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,19,34,0.1954050064086914,1,54.0,0.0,0.0,28,barabasi,19,34,3.5789,2.4776,0.4164,-0.3501,0.4211,27,0.7927475400170566
watts_29,7.000003498978913,"[-2.528184072253552, 3.141592653589793]",-2.528184072253552,3.141592653589793,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,7,14,0.0106267929077148,1,8.0,0.0,0.0,29,watts,7,14,4.0,0.7559,0.6238,-0.1667,0.2857,10,0.7000003498978913
barabasi_30,7.9589257742406545,"[0.3999775659243472, 2.7487486830352585]",0.3999775659243472,2.7487486830352585,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,12,11,0.0981221199035644,1,58.0,0.0,0.0,30,barabasi,12,11,1.8333,1.2802,0.0,-0.3484,0.5,11,0.7235387067491504
gnm_31,11.288080129105763,"[1.860714273235213, 2.6629172119069846]",1.860714273235213,2.6629172119069846,[1.72414847 1.12341683],1.7241484721289566,1.123416829660566,1,10,21,0.0905373096466064,1,52.0,0.0,0.0,31,gnm,10,21,4.2,1.077,0.5267,-0.3835,0.4,15,0.7525386752737175
