graphname,optimal_expectation,optimal_parameters,optimal_gamma,optimal_beta,initial_parameters,initial_gamma,initial_beta,num_layers,num_qubits,num_interactions,sim_time,n_restarts,mean_n_obj_calls,gamma_std_across_restarts,beta_std_across_restarts,graph_id,model,n,m,deg_mean,deg_std,clust_mean,assortativity,mis,exact_maxcut,approx_ratio
gnm_21,5.158987982751569,"[0.32816191607169454, 2.421555213587845, 2.931120055619426, 1.8341777529798837]",0.3281619160716945,2.931120055619426,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,6,7,0.2352960109710693,1,244.0,0.0,0.0,21,gnm,6,7,2.3333,0.9428,0.25,-0.5556,0.5,6,0.8598313304585948
watts_22,12.823391113773098,"[1.799227432858574, 2.769697274868197, 0.33204429578093975, 2.6115392184506057]",1.799227432858574,0.3320442957809397,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,12,24,1.026357889175415,1,384.0,0.0,0.0,22,watts,12,24,4.0,0.7071,0.3889,-0.2043,0.3333,19,0.6749153217775316
watts_23,20.48871962671053,"[0.33458365654571176, 3.013415808176849, 1.924403607569893, 0.8306492853976504]",0.3345836565457117,1.924403607569893,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,15,30,1.0724222660064695,1,302.0,0.0,0.0,23,watts,15,30,4.0,1.2111,0.2429,-0.27,0.4,25,0.8195487850684212
watts_24,7.877589686315446,"[0.47109866288252533, 2.2587764783933637, 2.9717568688217426, 1.884251741779373]",0.4710986628825253,2.9717568688217426,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,10,10,0.2673025131225586,1,161.0,0.0,0.0,24,watts,10,10,2.0,0.4472,0.0,-0.0526,0.5,9,0.8752877429239384
barabasi_25,5.909164249183732,"[1.6645548081156853, 1.9398823961495641, 0.9580004157185186, 2.759157607897608]",1.6645548081156851,0.9580004157185186,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,9,8,0.2350494861602783,1,153.0,0.0,0.0,25,barabasi,9,8,1.7778,1.2273,0.0,-0.5748,0.5556,8,0.7386455311479665
regular_26,16.666674291821415,"[0.9266972079894943, 1.8926462191159183, 2.819299788183291, 2.2155147008321325]",0.9266972079894944,2.819299788183291,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,20,20,0.8314225673675537,1,156.0,0.0,0.0,26,regular,20,20,2.0,0.0,0.0,0.0,0.45,20,0.8333337145910708
gnm_27,67.70920159519031,"[2.8451161988791243, 1.7482416484516403, 3.141592653589793, 2.761611128453673]",2.8451161988791243,3.141592653589793,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,18,133,3.168118953704834,1,196.0,0.0,0.0,27,gnm,18,133,14.7778,1.4741,0.8719,-0.1253,0.1667,78,0.8680666871178244
barabasi_28,21.404326332148905,"[1.7604645369561882, 1.1172656682058075, 3.141592653589793, 1.9284593008061672]",1.7604645369561882,3.141592653589793,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,19,34,1.3528125286102295,1,264.0,0.0,0.0,28,barabasi,19,34,3.5789,2.4776,0.4164,-0.3501,0.4211,27,0.7927528271166261
watts_29,7.942474822339136,"[1.6616670624022474, 2.8653276882265315, 2.495754025001698, 2.4266506474557237]",1.6616670624022474,2.495754025001698,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,7,14,0.1800374984741211,1,120.0,0.0,0.0,29,watts,7,14,4.0,0.7559,0.6238,-0.1667,0.2857,10,0.7942474822339136
barabasi_30,8.737775086449545,"[0.3005824653573771, 2.4653755831558914, 2.81896473190593, 1.8087582371263267]",0.3005824653573771,2.81896473190593,[1.72414847 2.24683366 0.9468185  0.8559005 ],1.7241484721289566,0.946818497059829,2,12,11,0.1702034473419189,1,109.0,0.0,0.0,30,barabasi,12,11,1.8333,1.2802,0.0,-0.3484,0.5,11,0.7943431896772314
