graph_id,model,n,m,deg_mean,deg_std,clust_mean,assortativity,mis,exact_maxcut
768,barabasi,20,19,1.9,2.1886,0.0,-0.4871,0.7,19
769,regular,7,14,4.0,0.0,0.5,,0.2857,10
770,gnm,8,27,6.75,0.433,0.9643,-0.2857,0.25,16
771,gnm,7,9,2.5714,1.178,0.2048,-0.6791,0.5714,8
772,barabasi,19,48,5.0526,3.0689,0.4772,-0.3375,0.4211,36
773,gnm,6,14,4.6667,0.4714,0.9333,-0.4,0.3333,9
774,gnm,7,13,3.7143,0.6999,0.619,-0.0833,0.2857,10
775,barabasi,9,8,1.7778,1.0304,0.0,-0.7471,0.6667,8
776,barabasi,12,11,1.8333,0.8975,0.0,-0.5203,0.5,11
777,watts,18,36,4.0,0.5774,0.4037,0.1489,0.3333,27
778,watts,8,16,4.0,1.118,0.5375,-0.3061,0.375,12
779,gnm,15,79,10.5333,1.4545,0.759,-0.1261,0.2,48
780,regular,14,28,4.0,0.0,0.2143,,0.3571,22
781,watts,13,13,2.0,0.5547,0.0,-0.625,0.5385,12
782,watts,11,11,2.0,0.7385,0.0,-0.3509,0.4545,10
783,barabasi,11,10,1.8182,1.3361,0.0,-0.4855,0.6364,10
784,gnm,11,24,4.3636,1.0679,0.3727,0.1362,0.2727,18
785,watts,14,14,2.0,0.7559,0.1667,-0.1667,0.4286,13
786,regular,13,13,2.0,0.0,0.0,,0.3846,12
787,gnm,6,13,4.3333,0.7454,0.9,-0.4444,0.3333,9
788,watts,15,30,4.0,0.7303,0.4444,0.0253,0.3333,24
789,gnm,18,95,10.5556,1.8019,0.5986,-0.082,0.2222,61
790,barabasi,8,7,1.75,0.9682,0.0,-0.4848,0.5,7
791,gnm,8,24,6.0,0.866,0.8702,-0.305,0.25,15
792,barabasi,19,18,1.8947,1.744,0.0,-0.4886,0.6316,18
793,watts,20,20,2.0,0.7071,0.0,-0.0213,0.5,20
794,gnm,20,173,17.3,1.2689,0.9127,-0.0912,0.1,98
795,gnm,20,113,11.3,2.1237,0.6005,-0.1648,0.25,73
796,gnm,7,18,5.1429,0.833,0.8857,-0.378,0.2857,12
797,barabasi,13,22,3.3846,2.1318,0.5458,-0.3965,0.4615,17
798,gnm,13,55,8.4615,1.6462,0.7115,-0.2053,0.2308,36
799,gnm,16,88,11.0,1.4577,0.7263,-0.1973,0.1875,54
800,regular,8,12,3.0,0.0,0.5,,0.375,10
801,watts,16,32,4.0,1.1726,0.1952,0.0616,0.375,25
802,watts,7,7,2.0,0.0,0.0,,0.4286,6
803,gnm,11,42,7.6364,1.1499,0.7617,-0.1657,0.2727,27
804,regular,14,21,3.0,0.0,0.2143,,0.3571,17
805,gnm,7,20,5.7143,0.4518,0.9524,-0.3333,0.2857,12
806,barabasi,15,14,1.8667,1.7075,0.0,-0.6163,0.6667,14
807,gnm,17,86,10.1176,1.875,0.6343,-0.076,0.2353,55
808,regular,13,13,2.0,0.0,0.0,,0.3846,12
809,watts,7,14,4.0,0.7559,0.6571,-0.2963,0.2857,10
810,gnm,12,47,7.8333,1.724,0.7713,-0.2042,0.1667,30
811,barabasi,18,17,1.8889,2.0518,0.0,-0.6243,0.5556,17
812,barabasi,12,20,3.3333,1.5986,0.3175,-0.3753,0.5,16
813,barabasi,8,7,1.75,1.299,0.0,-0.75,0.75,7
814,gnm,11,48,8.7273,1.2129,0.9012,-0.2523,0.1818,29
815,barabasi,13,22,3.3846,2.4663,0.6613,-0.458,0.4615,17
816,regular,12,24,4.0,0.0,0.2083,,0.3333,18
817,watts,19,19,2.0,0.562,0.0,-0.2667,0.5263,19
818,gnm,8,21,5.25,0.9682,0.775,-0.2908,0.25,14
819,watts,6,6,2.0,0.0,0.0,,0.5,6
820,watts,12,12,2.0,0.7071,0.0,-0.3333,0.5833,12
821,barabasi,10,9,1.8,1.249,0.0,-0.5217,0.7,9
822,watts,16,16,2.0,0.6124,0.1458,0.0805,0.5,15
823,gnm,17,65,7.6471,1.3258,0.459,-0.0802,0.2353,45
824,gnm,12,29,4.8333,1.993,0.5421,-0.3986,0.3333,22
825,barabasi,10,9,1.8,0.8718,0.0,-0.2203,0.5,9
826,gnm,18,68,7.5556,1.7708,0.4232,-0.1799,0.2778,48
827,gnm,13,51,7.8462,1.0987,0.5978,-0.0526,0.2308,35
828,watts,6,12,4.0,0.8165,0.8444,-0.4348,0.3333,8
829,watts,12,12,2.0,0.7071,0.1389,-0.1429,0.5,11
830,barabasi,20,19,1.9,1.8138,0.0,-0.3429,0.55,19
831,gnm,15,83,11.0667,1.6519,0.8081,-0.131,0.2,51
832,regular,10,20,4.0,0.0,0.35,,0.3,16
833,barabasi,15,26,3.4667,2.2764,0.6241,-0.43,0.4667,19
834,watts,20,20,2.0,1.0488,0.0417,-0.002,0.5,19
835,watts,14,14,2.0,0.378,0.0,-0.037,0.5,14
